year,geo_name,geo,avg_wage,avg_wage_moe
2014,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA,79500US0800824,89477.5,32621.1
2014,El Paso County (West Central)--Colorado Springs City (West) PUMA,79500US0804102,107749,41404.5
2014,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills PUMA,79500US0804104,79245.8,14563.2
2014,El Paso County (North Central)--Colorado Springs City (North) & Monument Town PUMA,79500US0804106,104008,13400.3
2014,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",79500US0900100,92078,23382.6
2014,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA",79500US0900101,135149,58220.8
2014,"Stamford & Greenwich Towns PUMA, CT",79500US0900102,134203,42045.6
2014,"Norwalk, Westport & Darien Towns PUMA, CT",79500US0900103,114555,25692.3
2014,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",79500US0900105,119048,70978.8
2014,"Hartford County (North) PUMA, CT",79500US0900300,87587.1,17472.9
2014,Manchester & East Hartford Towns PUMA,79500US0900301,50631.2,14818.6
2014,Hartford Town PUMA,79500US0900302,48773.3,27648.5
2014,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA, CT",79500US0900303,89685.7,45082.3
2014,"Bristol, Southington & Burlington Towns PUMA",79500US0900304,59412.2,11037.4
2014,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA",79500US0900306,57376.6,34988.9
2014,"Middlesex County PUMA, CT",79500US0900700,103164,18917
2014,"New Haven County (Northwest) PUMA, CT",79500US0900900,111694,23748.5
2014,"Meriden, Wallingford & North Haven Towns PUMA",79500US0900902,148460,96114.2
2014,"West Haven, Milford & Orange Towns PUMA",79500US0900904,84931.8,31037.9
2014,"New London County (North) PUMA, CT",79500US0901100,59333.2,32328.4
2014,"New London County (South) PUMA, CT",79500US0901101,78344.2,26442.7
2014,"Tolland County PUMA, CT",79500US0901300,94245.4,16873.2
2014,New Castle County (East Central)--Wilmington City PUMA,79500US1000101,78078.7,32373
2014,"Hockessin PUMA, DE",79500US1000102,100980,26314.5
2014,"Newark City & Brookside PUMA, DE",79500US1000103,65966.4,13192.2
2014,"Middletown Town, Bear & Glasgow PUMA, DE",79500US1000104,92533.7,14906.9
2014,"Sussex County PUMA, DE",79500US1000300,77825,50138.5
2014,District of Columbia (North) PUMA,79500US1100102,89904.2,16541.1
2014,District of Columbia (Northeast) PUMA,79500US1100103,109848,41980.7
2014,"District of Columbia (East) PUMA, DC",79500US1100104,67532.8,37260.2
2014,"District of Columbia (Central) PUMA, DC",79500US1100105,107138,27812.1
2014,"Gainesville City (Central) PUMA, FL",79500US1200101,42934.6,15773
2014,Alachua County (Outer) PUMA,79500US1200102,42608.4,22456.1
2014,"Walton, Washington, Holmes & Bay Counties PUMA, FL",79500US1200500,70745.5,43980.4
2014,"Titusville, Rockledge & Cocoa Cities PUMA, FL",79500US1200901,82924.4,20795.3
2014,Brevard County (East)--Beaches & Merritt Island PUMA,79500US1200902,86848.2,20837.8
